path,lines,top_type
Fk/Pages/Lobby/RoomGeneralSettings.qml,85,Item
Fk/Pages/Lobby/RoomPackageSettings.qml,109,Flickable
Fk/Pages/Lobby/UISetting.qml,92,W.PreferencePage
Fk/Pages/Lobby/UserInfo.qml,97,ColumnLayout
Fk/Pages/LunarLTK/AG.qml,68,GraphicsBox
Fk/Pages/LunarLTK/ArrangeCardsBox.qml,423,GraphicsBox
Fk/Pages/LunarLTK/CardNamesBox.qml,171,GraphicsBox
Fk/Pages/LunarLTK/CardsOverview.qml,405,W.PageBase
Fk/Pages/LunarLTK/CheckBox.qml,81,GraphicsBox
Fk/Pages/LunarLTK/ChoiceBox.qml,43,GraphicsBox
Fk/Pages/LunarLTK/ChooseCardsAndChoiceBox.qml,182,GraphicsBox
Fk/Pages/LunarLTK/ChooseGeneralBox.qml,305,GraphicsBox
Fk/Pages/LunarLTK/DetailedCheckBox.qml,109,GraphicsBox
Fk/Pages/LunarLTK/DetailedChoiceBox.qml,72,GraphicsBox
Fk/Pages/LunarLTK/GameOverBox.qml,207,GraphicsBox
Fk/Pages/LunarLTK/GeneralDetailPage.qml,656,Item
Fk/Pages/LunarLTK/GeneralFilter.qml,539,Flickable
Fk/Pages/LunarLTK/GeneralPoolOverview.qml,262,W.PageBase
Fk/Pages/LunarLTK/GeneralsOverview.qml,510,W.PageBase
Fk/Pages/LunarLTK/GraphicsBox.qml,43,Item
Fk/Pages/LunarLTK/GuanxingBox.qml,343,GraphicsBox
Fk/Pages/LunarLTK/MoveCardInBoardBox.qml,155,GraphicsBox
Fk/Pages/LunarLTK/PlayerCardBox.qml,170,GraphicsBox
Fk/Pages/LunarLTK/PoxiBox.qml,235,GraphicsBox
Fk/Pages/LunarLTK/Room.qml,964,W.PageBase
Fk/Pages/Replay/GameDataOverview.qml,221,Item
Fk/Pages/Replay/Replay.qml,57,W.PageBase
Fk/Pages/Replay/ReplayRecordingFile.qml,231,Item
Fk/Pages/Replay/StatisticsOverview.qml,252,Item
Fk/Widgets/ActionRow.qml,82,AbstractButton
Fk/Widgets/ButtonContent.qml,69,AbstractButton
Fk/Widgets/ButtonRow.qml,29,ActionRow
Fk/Widgets/ComboRow.qml,43,ActionRow
Fk/Widgets/CommonScrollBar.qml,40,ScrollBar
Fk/Widgets/EntryRow.qml,25,TextField
Fk/Widgets/PageBase.qml,28,Item
Fk/Widgets/PopupLoader.qml,42,Popup
Fk/Widgets/PreferenceGroup.qml,58,ColumnLayout
Fk/Widgets/PreferencePage.qml,43,Flickable
Fk/Widgets/SideBarSwitcher.qml,46,ListView
Fk/Widgets/SliderRow.qml,18,ActionRow
Fk/Widgets/SpinRow.qml,42,ActionRow
Fk/Widgets/SwitchRow.qml,19,ActionRow
Fk/Widgets/TapHandler.qml,10,TapHandler
Fk/Widgets/TranslatedComboRow.qml,70,ActionRow
Fk/Widgets/ViewSwitcher.qml,39,ListView
Fk/main.qml,83,Window
