"path","extension","lines","bytes"
"FreeKill-sourcecode\packages\standard\pkg\skills\rende.lua",".lua","34","1046"
"FreeKill-sourcecode\packages\standard\pkg\skills\tiandu.lua",".lua","43","1289"
"FreeKill-sourcecode\packages\standard\pkg\skills\tieqi.lua",".lua","41","1044"
"FreeKill-sourcecode\packages\standard\pkg\skills\tuxi.lua",".lua","133","4352"
"FreeKill-sourcecode\packages\standard\pkg\skills\wusheng.lua",".lua","27","556"
"FreeKill-sourcecode\packages\standard\pkg\skills\wushuang.lua",".lua","31","959"
"FreeKill-sourcecode\packages\standard\pkg\skills\xiaoji.lua",".lua","75","1914"
"FreeKill-sourcecode\packages\standard\pkg\skills\yiji.lua",".lua","52","1608"
"FreeKill-sourcecode\packages\standard\pkg\skills\yingzi.lua",".lua","29","636"
"FreeKill-sourcecode\packages\standard\pkg\skills\zhiheng.lua",".lua","37","1026"
"FreeKill-sourcecode\packages\standard_cards\i18n\en_US.lua",".lua","193","12353"
"FreeKill-sourcecode\packages\standard_cards\i18n\init.lua",".lua","7","305"
"FreeKill-sourcecode\packages\standard_cards\i18n\vi_VN.lua",".lua","155","15821"
"FreeKill-sourcecode\packages\standard_cards\i18n\zh_CN.lua",".lua","218","13167"
"FreeKill-sourcecode\packages\standard_cards\init.lua",".lua","5","168"
"FreeKill-sourcecode\packages\standard_cards\metadata.lua",".lua","16","282"
"FreeKill-sourcecode\packages\standard_cards\pkg\init.lua",".lua","389","11476"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\amazing_grace.lua",".lua","90","2671"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\archery_attack.lua",".lua","81","2089"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\armor_invalidity.lua",".lua","52","1752"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\axe.lua",".lua","39","1332"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\blade.lua",".lua","36","1101"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\chitu.lua",".lua","24","545"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\collateral.lua",".lua","77","2564"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\crossbow.lua",".lua","37","1409"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\dayuan.lua",".lua","15","293"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\default_card_skill.lua",".lua","13","246"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\default_equip_skill.lua",".lua","38","1026"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\dilu.lua",".lua","30","716"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\dismantlement.lua",".lua","39","1193"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\double_swords.lua",".lua","37","1012"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\duel.lua",".lua","79","1985"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\eight_diagram.lua",".lua","100","2666"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\ex_nihilo.lua",".lua","38","880"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\god_salvation.lua",".lua","58","1336"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\halberd.lua",".lua","30","1025"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\ice_sword.lua",".lua","53","1670"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\indulgence.lua",".lua","40","994"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\init.lua",".lua","45","1412"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\jink.lua",".lua","38","867"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\jueying.lua",".lua","15","292"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\kylin_bow.lua",".lua","59","1990"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\lightning.lua",".lua","74","1906"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\nioh_shield.lua",".lua","86","2607"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\nullification.lua",".lua","38","881"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\peach.lua",".lua","73","1966"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\qinggang_sword.lua",".lua","178","7259"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\savage_assault.lua",".lua","81","2089"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\slash.lua",".lua","105","3618"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\snatch.lua",".lua","66","2085"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\spear.lua",".lua","27","574"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\zhuahuangfeidian.lua",".lua","15","310"
"FreeKill-sourcecode\packages\standard_cards\pkg\skills\zixing.lua",".lua","15","293"
"FreeKill-sourcecode\packages\test\init.lua",".lua","83","3618"
"FreeKill-sourcecode\packages\test\qml\Test.qml",".qml","21","326"
"FreeKill-sourcecode\packages\test\qml\TestDialog.qml",".qml","57","1351"
"FreeKill-sourcecode\packages\test\qml\TestMini.qml",".qml","47","809"
"FreeKill-sourcecode\packages\test\skills\change_hero.lua",".lua","53","1951"
"FreeKill-sourcecode\packages\test\skills\cheat.lua",".lua","52","1648"
"FreeKill-sourcecode\packages\test\skills\control.lua",".lua","32","778"
"FreeKill-sourcecode\packages\test\skills\damage_maker.lua",".lua","148","5074"
"FreeKill-sourcecode\packages\test\skills\test_rende.lua",".lua","50","1741"
"FreeKill-sourcecode\packages\test\skills\test_zhenggong.lua",".lua","22","678"
"FreeKill-sourcecode\packages\test\skills\test_zhijian.lua",".lua","33","1408"
